id	created_at	source	original_text	clean_text	sentiment	polarity	subjectivity	favorite_count	retweet_count	original_author	possibly_sensitive	hashtags	user_mentions	place	place_coord_boundaries
id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.1859429695448228e+18,Sun Oct 20 15:36:52 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dmightyangel: A man @atiku that sold ASCON a facility worth $3.5B
for $250M way below market price to his friends and called such a MIS…",RT dmightyangel A man atiku sold ASCON facility worth 3.5B 250M way market price friends called MIS…,"Sentiment(polarity=0.3, subjectivity=0.1)",0.3,0.1,en,0.0,145.0,dmightyangel,,,"dmightyangel, atiku",Cosmos,
1.185940551033639e+18,Sun Oct 20 15:27:15 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dmightyangel: A man @atiku that sold ASCON a facility worth $3.5B
for $250M way below market price to his friends and called such a MIS…",RT dmightyangel A man atiku sold ASCON facility worth 3.5B 250M way market price friends called MIS…,"Sentiment(polarity=0.3, subjectivity=0.1)",0.3,0.1,en,0.0,145.0,SaraOmalicha,,,"dmightyangel, atiku",United States of Africa,
1.1859297549580083e+18,Sun Oct 20 14:44:21 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dmightyangel: A man @atiku that sold ASCON a facility worth $3.5B
for $250M way below market price to his friends and called such a MIS…",RT dmightyangel A man atiku sold ASCON facility worth 3.5B 250M way market price friends called MIS…,"Sentiment(polarity=0.3, subjectivity=0.1)",0.3,0.1,en,0.0,145.0,OluwagbemigaSo2,,,"dmightyangel, atiku",,
1.1858696659412337e+18,Sun Oct 20 10:45:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BashirAhmaad: The moment President Muhammadu Buhari declared winner by Chairman INEC, Prof. Mahmoud Yakubu. A historic moment. Congratu…",RT BashirAhmaad The moment President Muhammadu Buhari declared winner Chairman INEC Prof. Mahmoud Yakubu A historic moment Congratu…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0.0,3452.0,Murtalalawalbe1,,,BashirAhmaad,"Zaria, Nigeria",
1.1858134466690621e+18,Sun Oct 20 07:02:11 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @IyaOlojaYouths: When you ho to the polls on Saturday remember there is only one option - President Buhari

#NigeriaDecides2019",RT IyaOlojaYouths When ho polls Saturday remember one option President Buhari NigeriaDecides2019,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0.0,1.0,Belloafeezoluw4,,NigeriaDecides2019,IyaOlojaYouths,"Lagos, Nigeria",
1.1856727589880218e+18,Sat Oct 19 21:43:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,dalhatu_yunusa,,NigeriaDecides2019,"ogundamisi, osita_chidoka","Abuja, Nigeria",
1.185670247954686e+18,Sat Oct 19 21:33:10 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dayokeys: Expect the unexpected tomorrow ...Many of us will be disappointed....but never the less that's d way God wants it #NigeriaDec…,RT dayokeys Expect unexpected tomorrow ... Many us disappointed ... .but never less 's way God wants NigeriaDec…,"Sentiment(polarity=0.02666666666666666, subjectivity=0.4833333333333334)",0.02666666666666666,0.4833333333333334,en,0.0,4.0,davidwoodwork,,,dayokeys,"Lagos, Nigeria",
1.1856119402336666e+18,Sat Oct 19 17:41:28 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Today its been Adeboye vs Dangote.
Let's take the fight to the poll.

A meeting with Dangote Vs Pastor Adeboye… https://t.co/V4wSbWsqUb",Today Adeboye vs Dangote Let 's take fight poll A meeting Dangote Vs Pastor Adeboye… https //t.co/V4wSbWsqUb,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1.0,0.0,UrbancruiseNg,,,,Everywhere,
1.1856049692920914e+18,Sat Oct 19 17:13:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NaijaGoBeta1: @HOAction @inecnigeria They told us the President couldn't sign the amended bill bcoz it was too close to the #NigeriaDec…,RT NaijaGoBeta1 HOAction inecnigeria They told us President could n't sign amended bill bcoz close NigeriaDec…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0.0,1.0,HOAction,,,"NaijaGoBeta1, HOAction, inecnigeria",Nigeria,
1.1856003843683656e+18,Sat Oct 19 16:55:33 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BashirAhmaad: The moment President Muhammadu Buhari declared winner by Chairman INEC, Prof. Mahmoud Yakubu. A historic moment. Congratu…",RT BashirAhmaad The moment President Muhammadu Buhari declared winner Chairman INEC Prof. Mahmoud Yakubu A historic moment Congratu…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0.0,3452.0,Ike_Ude,,,BashirAhmaad,"Lagos, Nigeria",
